run_id,wandb_run_name,state,D,seed,beta,mult,heldout_ll,eval_ll,final_step,heldout_backfilled
mult-d-grid-20260718-151409-f98da348,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n300subj,crashed,300,0,0.0003,10,,0.7262016534805298,76120,False
mult-d-grid-20260718-151409-d111b057,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n300subj,crashed,300,0,0.001,10,,0.7240390181541443,77100,False
mult-d-grid-20260718-151409-33c0e6f5,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n301subj,crashed,301,1,0.0003,1,0.7176692126417333,0.727234959602356,78400,True
mult-d-grid-20260718-151409-0761b71d,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n301subj,finished,301,1,0.001,1,0.7157906889915466,0.7254396080970764,107560,False
mult-d-grid-20260718-151409-3947b8e7,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n301subj,finished,301,1,0.0003,2,0.7183811664581299,0.7286409735679626,107559,False
mult-d-grid-20260718-151409-f50608cd,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n301subj,finished,301,1,0.001,2,0.7137638926506042,0.7247907519340515,107559,False
mult-d-grid-20260718-151409-eb2f9dc2,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n301subj,crashed,301,1,0.0003,5,0.7188828103744472,0.7276382446289062,50250,True
mult-d-grid-20260718-151409-d3292e9e,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n301subj,finished,301,1,0.001,5,0.7153301239013672,0.7256835103034973,107559,False
mult-d-grid-20260718-151409-f0945ec6,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n301subj,finished,301,1,0.0003,10,0.7161114811897278,0.7278289794921875,107559,False
mult-d-grid-20260718-151409-11182963,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n301subj,finished,301,1,0.001,10,0.7127594351768494,0.723230242729187,107564,False
mult-d-grid-20260718-151409-4063ef92,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,0,0.0003,1,0.7224668860435486,0.7291393876075745,107561,False
mult-d-grid-20260718-151409-fec3f738,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,1,0.0003,1,0.7217003107070923,0.7288062572479248,107561,False
mult-d-grid-20260718-151409-63185747,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n614subj,finished,614,0,0.001,1,0.715557873249054,0.7238163948059082,107560,False
mult-d-grid-20260718-151409-0e73b2d0,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n614subj,finished,614,1,0.001,1,0.7165060639381409,0.7240244150161743,107560,False
mult-d-grid-20260718-151409-094792f7,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,0,0.0003,2,0.7171861529350281,0.7257525324821472,107561,False
mult-d-grid-20260718-151409-301ff855,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,1,0.0003,2,0.7156481742858887,0.7238575220108032,107561,False
mult-d-grid-20260718-151409-e9b1af6e,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n614subj,finished,614,0,0.001,2,0.7171844244003296,0.7244614362716675,107578,False
mult-d-grid-20260718-151409-dfd5c47a,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n614subj,finished,614,1,0.001,2,0.7176178693771362,0.7244690656661987,107560,False
mult-d-grid-20260718-151409-2ad4c6ce,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,0,0.0003,5,0.7179526686668396,0.7260389924049377,107559,False
mult-d-grid-20260718-151409-cc82e7f1,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,1,0.0003,5,0.7185862064361572,0.7262619733810425,107559,False
mult-d-grid-20260718-151409-4585cf1a,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n614subj,finished,614,0,0.001,5,0.7138895988464355,0.720600962638855,107558,False
mult-d-grid-20260718-151409-1e10f486,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n614subj,finished,614,1,0.001,5,0.7128641605377197,0.7213867902755737,107567,False
mult-d-grid-20260718-151409-5c91f1e0,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,0,0.0003,10,0.7186819314956665,0.7261793613433838,107559,False
mult-d-grid-20260718-151409-14944b05,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n614subj,finished,614,1,0.0003,10,0.7194523215293884,0.7260978817939758,107559,False
mult-d-grid-20260718-151409-3a232ed8,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n614subj,finished,614,0,0.001,10,0.7156834006309509,0.7239693403244019,107559,False
mult-d-grid-20260718-151409-31dfe9f9,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject,crashed,614,1,0.001,10,,0.7241974472999573,68860,False
