subject_id,session_id,session_index,subject_max_session_index,session_phase,embedding_1,embedding_2,embedding_3,embedding_4
synth028,synth028_s027,28,40,0.7,0.1286209489713263,0.07748422392303606,0.3235687621288056,-0.026957566096223774
synth028,synth028_s028,29,40,0.725,0.13241127925996435,0.0566567791406114,0.36295152514230133,-0.024725556091338474
synth028,synth028_s029,30,40,0.75,0.13605795250317526,0.03566556353413147,0.4022111539474237,-0.022553988189034216
synth028,synth028_s030,31,40,0.775,0.13985844593080737,0.01522328440979745,0.4399044402376105,-0.020460301416661473
synth028,synth028_s031,32,40,0.8,0.14365893935843954,-0.005218994714536573,0.47759772652779714,-0.018366614644288737
synth028,synth028_s032,33,40,0.825,0.14745943278607163,-0.025661273838870458,0.5152910128179837,-0.016272927871916008
synth028,synth028_s033,34,40,0.85,0.15099988677199158,-0.04442752951463802,0.5497396595855679,-0.014356715313809977
synth028,synth028_s034,35,40,0.875,0.1543271471975283,-0.06181969592174297,0.5815281858443968,-0.012586005143213359
synth028,synth028_s035,36,40,0.9,0.15765440762306498,-0.07921186232884792,0.6133167121032259,-0.01081529497261674
synth028,synth028_s036,37,40,0.925,0.1608296941377733,-0.09567501094586517,0.6434837690807638,-0.009107662401701709
synth028,synth028_s037,38,40,0.95,0.1635843567324396,-0.10956688201580028,0.6691630244244136,-0.007574612080465448
synth028,synth028_s038,39,40,0.975,0.16633901932710593,-0.12345875308573545,0.6948422797680636,-0.0060415617592291734
synth028,synth028_s039,40,40,1.0,0.16909368192177227,-0.13735062415567056,0.7205215351117135,-0.004508511437992906
synth056,synth056_s000,1,40,0.025,-0.08847025645668563,0.7175451987951209,-0.7055594049586805,0.07826964499188015
synth056,synth056_s001,2,40,0.05,-0.08563022876266944,0.7033405880847851,-0.6790857789817476,0.07936438787402232
synth056,synth056_s002,3,40,0.075,-0.08228906967439409,0.6870173569953304,-0.6486459220287707,0.08067375871242156
synth056,synth056_s003,4,40,0.1,-0.07845110424736626,0.6685937904533094,-0.6142740649807514,0.08219590514293804
synth056,synth056_s004,5,40,0.125,-0.07461313882033842,0.6501702239112882,-0.5799022079327321,0.08371805157345451
synth056,synth056_s005,6,40,0.15,-0.07027791040122527,0.630201293581596,-0.5425202285467516,0.08543998498911473
synth056,synth056_s006,7,40,0.175,-0.0658305501893815,0.6098838868627685,-0.5044594726994894,0.08720696996333649
synth056,synth056_s007,8,40,0.2,-0.06121943107330813,0.5889422307075108,-0.46511882110374714,0.0891526289003736
synth056,synth056_s008,9,40,0.225,-0.05652560355298643,0.567871560595801,-0.4253257013368028,0.09131202713901627
synth056,synth056_s009,10,40,0.25,-0.05183177603266473,0.5468008904840913,-0.38553258156985826,0.09347142537765896
synth056,synth056_s010,11,40,0.275,-0.04666712654987566,0.5236742024422492,-0.3418869085465548,0.09590382717960584
synth056,synth056_s011,12,40,0.3,-0.04132626776462629,0.49977803142341093,-0.29679938323913824,0.09843840299061321
synth056,synth056_s012,13,40,0.325,-0.035985408979376944,0.4758818604045727,-0.25171185793172146,0.10097297880162057
synth056,synth056_s013,14,40,0.35,-0.031262522582952396,0.45217541969623587,-0.20629451493845197,0.10347557081572083
synth056,synth056_s014,15,40,0.375,-0.027866369745109858,0.4324378344847053,-0.16767383058231988,0.10557615586926887
