subject_id,true_preset,selected_baseline,evallik_Bari2019,evallik_Hattori2019,evallik_CompareToThreshold,evallik_RescorlaWagner
synth025,Hattori2019,CompareToThreshold,0.6277892597529339,0.6290113258992813,0.629455814125084,0.4849483455367375
synth026,RescorlaWagner,Bari2019,0.758663533994469,0.7556560420850277,0.7574910408151828,0.6821105785359256
synth027,Bari2019,Bari2019,0.6375656872963786,0.6208720083082336,0.6272386783839716,0.5652805270655082
synth028,Hattori2019,Hattori2019,0.8422932037471291,0.8618394879216561,0.8443395446322582,0.7062257434868442
synth029,RescorlaWagner,Hattori2019,0.7123680472752958,0.7198446041773466,0.7108421685300399,0.5406750161143364
synth030,Bari2019,Bari2019,0.9214784745112428,0.8986384160791802,0.9211739551631806,0.6810694672053368
synth031,Hattori2019,Bari2019,0.6239067973352077,0.6238246949643637,0.619604065918579,0.5682170516166771
synth032,RescorlaWagner,Hattori2019,0.7236879832524856,0.7277315132135407,0.7182840375505648,0.6359018476207134
synth033,Bari2019,CompareToThreshold,0.8362076153817892,0.7901233343103825,0.8385968368561997,0.5738766621081349
synth034,Hattori2019,Hattori2019,0.87258932160096,0.8740539131737803,0.8707775437959122,0.7660996209382931
synth035,RescorlaWagner,Bari2019,0.6813733788574919,0.6746625952221146,0.6622706670833667,0.6391301254051147
synth036,Bari2019,Bari2019,0.7018501866619263,0.6922381363339817,0.6967882207110028,0.5953338423395782
synth037,Hattori2019,Hattori2019,0.7014676347495985,0.7055394432475329,0.6983959043133335,0.6239749468475553
synth038,RescorlaWagner,Bari2019,0.8199713924268742,0.8191920591895389,0.8191430425621624,0.7456369762472355
synth039,Bari2019,CompareToThreshold,0.5106186361674271,0.523207845818802,0.5232574096881388,0.4963832990069793
synth040,Hattori2019,Hattori2019,0.8930337402765479,0.8951098675566794,0.8913043623787015,0.7648290424691264
synth041,RescorlaWagner,RescorlaWagner,0.7212036984324961,0.7149166427393192,0.6999868805490579,0.7322353007711626
synth042,Bari2019,Hattori2019,0.4712958308222905,0.4740923139408802,0.472269735015082,0.4354538429752909
synth043,Hattori2019,Hattori2019,0.7186655748787982,0.7225249436197273,0.6984461346898643,0.6489012095550165
synth044,RescorlaWagner,Bari2019,0.7402548242479917,0.7370084886554441,0.7365611049888843,0.6235117297310248
synth045,Bari2019,Bari2019,0.5620136382944965,0.5611335360350689,0.5602332132721018,0.5249719855187751
synth046,Hattori2019,Hattori2019,0.8981978304490351,0.90073724196279,0.8979202926248753,0.7737545051329918
synth047,RescorlaWagner,Bari2019,0.8870115187928969,0.8848916445417602,0.876780497720613,0.802595061822917
synth048,Bari2019,Bari2019,0.933374110845552,0.905874312799468,0.9324583537916656,0.5519021601861257
synth049,Hattori2019,CompareToThreshold,0.532063821671218,0.5290638802263805,0.5322291667237942,0.5025920515312279
synth050,RescorlaWagner,Hattori2019,0.8552645394327208,0.8596315754666549,0.8553381278892391,0.7900722295944782
synth051,Bari2019,Bari2019,0.7834632328837868,0.7461984854083783,0.7801551058037067,0.6135800796164362
synth052,Hattori2019,Hattori2019,0.8880521123468489,0.8913994799431612,0.8846963522348911,0.7848411330575228
synth053,RescorlaWagner,Bari2019,0.7110981725095942,0.6740254900097701,0.6973691443790381,0.6633513527604531
synth054,Bari2019,Bari2019,0.5208920569537336,0.5205751307681402,0.5200756328660969,0.4800505738998235
synth055,Hattori2019,Hattori2019,0.4866102366247065,0.4869538196175936,0.4858020046798614,0.4729535952863374
synth056,RescorlaWagner,Bari2019,0.8327833800887385,0.751671108962645,0.8143888576968488,0.6169648835384596
synth057,Bari2019,Bari2019,0.8954595288188218,0.8622811059145367,0.8953841391703438,0.5931733771912281
synth058,Hattori2019,Hattori2019,0.8484919422307727,0.8507833855712632,0.8389851509007608,0.7575833194981006
synth059,RescorlaWagner,Hattori2019,0.7580080564982895,0.7807944590049188,0.7578516043438882,0.6052879620142355
synth060,Bari2019,CompareToThreshold,0.97269600390143,0.9606408934822086,0.9732266401400832,0.5923737647988995
synth061,Hattori2019,Hattori2019,0.5604806512285887,0.5605877043756717,0.5585069602891995,0.4986243970106244
synth062,RescorlaWagner,Bari2019,0.7163619816134392,0.7090653097332963,0.7058579270150315,0.6410065762528732
synth063,Bari2019,Bari2019,0.9072510421833354,0.881336149721297,0.8991943430748314,0.7304646947907449
synth064,Hattori2019,Hattori2019,0.8222183710905623,0.8331703814183932,0.7878058844020079,0.7441320764613741
synth065,RescorlaWagner,Bari2019,0.7335254677263898,0.728783742181797,0.7143167169137326,0.6791329474341116
synth066,Bari2019,Bari2019,0.6771674122993723,0.6633290627840703,0.6746834972776132,0.56028789369778
synth067,Hattori2019,Hattori2019,0.8033117358135582,0.8117617069341331,0.8020550639028741,0.6979352671400879
synth068,RescorlaWagner,Bari2019,0.7034736933216874,0.6968886299729712,0.6862461041021543,0.6813492170212275
synth069,Bari2019,Bari2019,0.7184765254908293,0.714401395953863,0.717381626808534,0.58837690818832
synth070,Hattori2019,Hattori2019,0.8385755220848764,0.841318700918584,0.8330957346540993,0.7299136983503556
synth071,RescorlaWagner,Bari2019,0.8617492947480153,0.8498199216223961,0.8517967519053099,0.7886417336027034
synth072,Bari2019,CompareToThreshold,0.7506048552695778,0.7625467285186552,0.7756173186785662,0.583438247807732
synth073,Hattori2019,Hattori2019,0.7848118457460787,0.8010888357288943,0.7777060342649699,0.6935150246990679
synth074,RescorlaWagner,RescorlaWagner,0.806850612779822,0.7952442609348703,0.7895384497758684,0.8237044313840468
synth075,Bari2019,CompareToThreshold,0.6908423880353524,0.6895449847329805,0.6933902873902865,0.5604880485154131
synth076,Hattori2019,Hattori2019,0.9202716583940878,0.938134379901163,0.924929276521882,0.7352912489531388
synth077,RescorlaWagner,Bari2019,0.6954962556322205,0.6895466713090511,0.6879231247072038,0.617494500290518
synth078,Bari2019,CompareToThreshold,0.9062006429008742,0.8862816616390624,0.912770485680974,0.5147246135490187
synth079,Hattori2019,Bari2019,0.6066283517835349,0.5999233799998472,0.6058215087166066,0.5227192688020069
synth080,RescorlaWagner,Bari2019,0.7870845287902758,0.7814102191684212,0.784576088357981,0.711129045749067
synth081,Bari2019,Bari2019,0.7062600683059039,0.684419581302486,0.6967777948951098,0.5819585635364636
synth082,Hattori2019,Hattori2019,0.8113796963355043,0.8178109074116426,0.8054053162082843,0.7173344119679586
synth083,RescorlaWagner,Hattori2019,0.7940857651221516,0.7992366792467239,0.7860446482727961,0.7291276593502599
synth084,Bari2019,Bari2019,0.8239446693859493,0.7837562058528991,0.8239375274554875,0.5917844269906959
synth085,Hattori2019,Hattori2019,0.6031054413717132,0.6047433287817626,0.6008824614691088,0.5017183259948423
synth086,RescorlaWagner,Bari2019,0.6637146250721183,0.6629715403922597,0.6500814915910276,0.5791970773641295
synth087,Bari2019,Bari2019,0.9001628840663011,0.8725729249180655,0.8990310094244093,0.5996446834225689
synth088,Hattori2019,Hattori2019,0.889853329388011,0.8901788945745064,0.8892473566073936,0.7653060515089984
synth089,RescorlaWagner,RescorlaWagner,0.6967407695819441,0.6934283039386637,0.6769556247256701,0.7173252080929068
synth090,Bari2019,Bari2019,0.8508488478472849,0.8039807740582174,0.8505599578667461,0.5974070184016528
synth091,Hattori2019,Hattori2019,0.8807856744927686,0.8890241684098706,0.8687747087932676,0.8049569915534044
synth092,RescorlaWagner,Hattori2019,0.739955090901825,0.7456159722959409,0.7350236034150613,0.6486567007282336
synth093,Bari2019,CompareToThreshold,0.875674152767706,0.821647430970971,0.8758938729654789,0.5805973846770988
synth094,Hattori2019,Hattori2019,0.8131915794924499,0.8159104795753537,0.7903055616179048,0.7334773384768218
synth095,RescorlaWagner,Hattori2019,0.7500810852357079,0.7588919648544652,0.7533656822885605,0.6313889797031358
synth096,Bari2019,Bari2019,0.7726952195386501,0.7420987074658707,0.7726879321938726,0.6130249846071386
synth097,Hattori2019,Hattori2019,0.7673358297293025,0.7695928945628082,0.7647114788910556,0.6527899762208982
synth098,RescorlaWagner,Bari2019,0.8531924482487319,0.8366588877505687,0.8404739268865346,0.7812387800352315
synth099,Bari2019,Bari2019,0.7188961474549469,0.6947686250888603,0.7058261910075221,0.5887984969626139
synth100,Hattori2019,Hattori2019,0.866809187253459,0.8672020831760657,0.8652327146014762,0.7503523634065585
synth101,RescorlaWagner,Bari2019,0.6630342255200439,0.6572572834047824,0.6610916015529117,0.6244910035520836
synth102,Bari2019,CompareToThreshold,0.4889987625099443,0.4939377183371164,0.4967589639577392,0.4563633332223852
synth103,Hattori2019,Hattori2019,0.9489012551330764,0.9529177511659652,0.9510218911834226,0.84566398649488
synth104,RescorlaWagner,Bari2019,0.7100583545038358,0.7027964695100221,0.6924184221314237,0.6394075711783327
synth105,Bari2019,Hattori2019,0.5184929267601569,0.5265290793398301,0.5232701340593077,0.4938308596580761
synth106,Hattori2019,Hattori2019,0.9655564321450056,0.970869573483608,0.968801451373038,0.8964593615139543
synth107,RescorlaWagner,Hattori2019,0.8260510188513357,0.863499192006691,0.8575318239016646,0.579937412549709
synth108,Bari2019,Bari2019,0.7173128371166799,0.7161211710890785,0.7170566574798252,0.5797351336884119
synth109,Hattori2019,Hattori2019,0.6663445019606509,0.6685094223683674,0.6647714153907573,0.6001751761603115
synth110,RescorlaWagner,CompareToThreshold,0.628625222422015,0.6226764466820328,0.629157850592422,0.5417226324110495
synth111,Bari2019,Bari2019,0.7542387756302202,0.7424606197733056,0.7483437486465042,0.5883550188936536
synth112,Hattori2019,Hattori2019,0.7833471252607062,0.7945902620630821,0.7796446800482301,0.6801825435721056
synth113,RescorlaWagner,Bari2019,0.6493515298898,0.6422895750908353,0.6487317728372592,0.5790692087960173
synth114,Bari2019,Bari2019,0.5924898998870805,0.5882318538523612,0.5911413697898051,0.538479113340481
synth115,Hattori2019,Hattori2019,0.8938781402952568,0.8965445563601487,0.891071165065276,0.7955082574432548
synth116,RescorlaWagner,Bari2019,0.8402176874711498,0.8302593060831477,0.8263080394129175,0.7598978741931106
