true_preset,subject_id,param,true_initial,true_centroid,fitted_static
Bari2019,synth087,softmax_inverse_temperature,10.999041638901256,9.139583442214068,6.130679187865968
Bari2019,synth090,biasL,-0.6882090514611887,-0.6185315851281904,-0.374231323564021
Bari2019,synth090,choice_kernel_relative_weight,0.2200165511644582,0.2200165511644582,0.2331821915503251
Bari2019,synth090,forget_rate_unchosen,0.3305554262755175,0.3305554262755175,0.0245009993333901
Bari2019,synth090,learn_rate,0.8045346029939556,0.8614719683756875,0.9772711861583612
Bari2019,synth090,softmax_inverse_temperature,12.003389322549024,11.73835691335347,10.944746007405309
Bari2019,synth093,biasL,-1.3030891312241026,-1.218398511940586,-0.8409501509582191
Bari2019,synth093,choice_kernel_relative_weight,0.3084652175764329,0.3084652175764329,0.5051060414164206
Bari2019,synth093,forget_rate_unchosen,0.1206644748032783,0.1206644748032783,0.0110428245996893
Bari2019,synth093,learn_rate,0.6780747218551139,0.7722127614431754,0.9276797481318534
Bari2019,synth093,softmax_inverse_temperature,10.680648659093492,10.090740415519312,5.58676000010567
Bari2019,synth096,biasL,1.1314371567186248,1.0368982053451608,0.6955120439104174
Bari2019,synth096,choice_kernel_relative_weight,0.0823741551588333,0.0823741551588333,0.0962334108317504
Bari2019,synth096,forget_rate_unchosen,0.0759438629082256,0.0759438629082256,0.1196162137098275
Bari2019,synth096,learn_rate,0.8707666293497951,0.8953291401416817,0.9861872354478748
Bari2019,synth096,softmax_inverse_temperature,15.631976257908562,14.956541567671852,12.951663846795432
Bari2019,synth099,biasL,1.018361803135216,0.7181798402065493,0.4723386047930594
Bari2019,synth099,choice_kernel_relative_weight,0.2831612508917237,0.2831612508917237,0.74096239177686
Bari2019,synth099,forget_rate_unchosen,0.1913654408081369,0.1913654408081369,0.0229391057728794
Bari2019,synth099,learn_rate,0.8005484681244932,0.8857123236058307,0.8826855121007214
Bari2019,synth099,softmax_inverse_temperature,7.042122888792256,6.398045485555125,2.331640064930669
Bari2019,synth102,biasL,-1.0271085610749056,-1.0891635150304195,-0.4822626611019514
Bari2019,synth102,choice_kernel_relative_weight,0.4140251929868249,0.4140251929868249,0.0839546044273219
Bari2019,synth102,forget_rate_unchosen,0.3231179150842937,0.3231179150842937,0.9130847095575754
Bari2019,synth102,learn_rate,0.3120578673381992,0.3173169983103457,0.0488695322830632
Bari2019,synth102,softmax_inverse_temperature,4.765968441721233,2.435947478125139,6.420768518500064
Bari2019,synth105,biasL,0.37718752044283,0.3474941647294609,0.2117286415967403
Bari2019,synth105,choice_kernel_relative_weight,0.07749713402959,0.07749713402959,0.1856524321123145
Bari2019,synth105,forget_rate_unchosen,0.1602426955001838,0.1602426955001838,0.1512441709979211
Bari2019,synth105,learn_rate,0.677143834669782,0.6561582082670051,0.6637470698470733
Bari2019,synth105,softmax_inverse_temperature,1.7601712336351123,2.8061995610886816,1.8708378976540951
Bari2019,synth108,biasL,0.4892779985712377,0.2185794834047296,0.1475891439590686
Bari2019,synth108,choice_kernel_relative_weight,0.0061153454092057,0.0061153454092057,0.0382894064869299
Bari2019,synth108,forget_rate_unchosen,0.1994514613098198,0.1994514613098198,0.0695699008243517
Bari2019,synth108,learn_rate,0.5396994403051181,0.601803363649961,0.8429835924598774
Bari2019,synth108,softmax_inverse_temperature,12.137143571309656,11.249572232262256,8.125900306866018
