true_family,subject_id,param,true_initial,baseline_fitted_static
QLearning,synth081,softmax_inverse_temperature,8.493887889532527,4.7677803790260604
QLearning,synth084,biasL,-0.7874827236475369,-0.4158191069189224
QLearning,synth084,choice_kernel_relative_weight,0.2425376728282416,0.4596083902407581
QLearning,synth084,forget_rate_unchosen,0.0493184434600567,0.0066777612779202
QLearning,synth084,learn_rate,0.6847633356376754,0.8906526373923167
QLearning,synth084,softmax_inverse_temperature,8.777722497749249,5.372639050981713
QLearning,synth087,biasL,1.5659726260126707,0.749218475821867
QLearning,synth087,choice_kernel_relative_weight,0.4510386638609552,0.5385723394691919
QLearning,synth087,forget_rate_unchosen,0.0123751230214863,0.0011362752381713
QLearning,synth087,learn_rate,0.2784618166785139,0.634512103873181
QLearning,synth087,softmax_inverse_temperature,10.999041638901256,6.130597275597479
QLearning,synth090,biasL,-0.6882090514611887,-0.3743234329427769
QLearning,synth090,choice_kernel_relative_weight,0.2200165511644582,0.3043799855986087
QLearning,synth090,forget_rate_unchosen,0.3305554262755175,0.0245835823914152
QLearning,synth090,learn_rate,0.8045346029939556,0.969930723657218
QLearning,synth090,softmax_inverse_temperature,12.003389322549024,8.38401304905069
QLearning,synth093,biasL,-1.3030891312241026,-0.8409440185713373
QLearning,synth093,choice_kernel_relative_weight,0.3084652175764329,0.5051106124459663
QLearning,synth093,forget_rate_unchosen,0.1206644748032783,0.0110435778567269
QLearning,synth093,learn_rate,0.6780747218551139,0.9276786286944688
QLearning,synth093,softmax_inverse_temperature,10.680648659093492,5.5867198427481615
QLearning,synth096,biasL,1.1314371567186248,0.6955204095418263
QLearning,synth096,choice_kernel_relative_weight,0.0823741551588333,0.0965951033135879
QLearning,synth096,forget_rate_unchosen,0.0759438629082256,0.1194989020645595
QLearning,synth096,learn_rate,0.8707666293497951,0.98613761197826
QLearning,synth096,softmax_inverse_temperature,15.631976257908562,12.90364655654519
QLearning,synth099,biasL,1.018361803135216,0.4723363280640723
QLearning,synth099,choice_kernel_relative_weight,0.2831612508917237,0.7409627234939749
QLearning,synth099,forget_rate_unchosen,0.1913654408081369,0.0229393726200083
QLearning,synth099,learn_rate,0.8005484681244932,0.8826840156877735
QLearning,synth099,softmax_inverse_temperature,7.042122888792256,2.3316419633458576
QLearning,synth102,biasL,-1.0271085610749056,-0.482386225617996
QLearning,synth102,choice_kernel_relative_weight,0.4140251929868249,0.0835232730861633
QLearning,synth102,forget_rate_unchosen,0.3231179150842937,0.9135455786144916
QLearning,synth102,learn_rate,0.3120578673381992,0.0486646022237588
QLearning,synth102,softmax_inverse_temperature,4.765968441721233,6.444902550031785
QLearning,synth105,biasL,0.37718752044283,0.2117246140356018
QLearning,synth105,choice_kernel_relative_weight,0.07749713402959,0.1856574170321372
QLearning,synth105,forget_rate_unchosen,0.1602426955001838,0.1512416667760745
QLearning,synth105,learn_rate,0.677143834669782,0.6637511228164572
QLearning,synth105,softmax_inverse_temperature,1.7601712336351123,1.8708243315427355
QLearning,synth108,biasL,0.4892779985712377,0.1474866310314867
QLearning,synth108,choice_kernel_relative_weight,0.0061153454092057,0.0382841025414302
QLearning,synth108,forget_rate_unchosen,0.1994514613098198,0.0695742193434736
QLearning,synth108,learn_rate,0.5396994403051181,0.8430188699656731
QLearning,synth108,softmax_inverse_temperature,12.137143571309656,8.127442569143403
QLearning,synth111,biasL,-0.9687393092161676,-0.3459261082848401
QLearning,synth111,choice_kernel_relative_weight,0.4862226962187743,0.1166839072301994
QLearning,synth111,forget_rate_unchosen,0.1756380640816798,0.934561268569257
QLearning,synth111,learn_rate,0.6658562008460156,0.0212218623985135
QLearning,synth111,softmax_inverse_temperature,4.539247860464456,9.410332095383312
QLearning,synth114,biasL,0.1198634124123454,0.0212529698844099
