true_family,subject_id,param,true_initial,gru_pred_static
QLearning,synth042,biasL,1.3440726517261,0.8309439335067674
QLearning,synth042,choice_kernel_relative_weight,0.2004692607037952,0.152090418736209
QLearning,synth042,forget_rate_unchosen,0.0759146599977846,0.2127633982535453
QLearning,synth042,learn_rate,0.8028419413151384,0.9885851442577536
QLearning,synth042,softmax_inverse_temperature,1.4250146869686908,5.269296232504358
QLearning,synth045,biasL,0.2037152949490273,0.1523777866722175
QLearning,synth045,choice_kernel_relative_weight,0.139198566457799,0.1329019389705547
QLearning,synth045,forget_rate_unchosen,0.2084107490807092,0.1523752391412051
QLearning,synth045,learn_rate,0.7834456349698607,0.9238958837539676
QLearning,synth045,softmax_inverse_temperature,3.308573936435341,5.844594243777118
QLearning,synth048,biasL,1.4539124590626498,0.4821510811642393
QLearning,synth048,choice_kernel_relative_weight,0.4229355616463854,0.389622166418932
QLearning,synth048,forget_rate_unchosen,0.2557220223101825,0.209801146246104
QLearning,synth048,learn_rate,0.8239947301949898,0.9583748108961452
QLearning,synth048,softmax_inverse_temperature,9.309397224309986,10.932026674765726
QLearning,synth051,biasL,0.6341166544540447,0.3761014842388048
QLearning,synth051,choice_kernel_relative_weight,0.1139653622275359,0.1231248117896638
QLearning,synth051,forget_rate_unchosen,0.3048462948137536,0.1821178368037335
QLearning,synth051,learn_rate,0.5251057585094683,0.8257132909109566
QLearning,synth051,softmax_inverse_temperature,13.114295587897152,12.444669321048114
QLearning,synth054,biasL,-0.9586054956334236,-0.8117426799823471
QLearning,synth054,choice_kernel_relative_weight,0.1703241806695772,0.1366595504691248
QLearning,synth054,forget_rate_unchosen,0.2762818193117088,0.1697324862347175
QLearning,synth054,learn_rate,0.7968179092165233,0.964580849953574
QLearning,synth054,softmax_inverse_temperature,5.1212522499790385,5.128898388190014
QLearning,synth057,biasL,-1.2621624929625108,-0.4458165718486655
QLearning,synth057,choice_kernel_relative_weight,0.3361543176690711,0.3327325420313343
QLearning,synth057,forget_rate_unchosen,0.0494947571217426,0.179233865079934
QLearning,synth057,learn_rate,0.4294045568163105,0.6842198127619579
QLearning,synth057,softmax_inverse_temperature,8.072650756810564,7.775504965995185
QLearning,synth060,biasL,-0.90458270013613,-0.0873239861898036
QLearning,synth060,choice_kernel_relative_weight,0.4635424723788065,0.4615955355151622
QLearning,synth060,forget_rate_unchosen,0.0857403484707051,0.197373467792165
QLearning,synth060,learn_rate,0.8543466493494178,0.8442276500911735
QLearning,synth060,softmax_inverse_temperature,10.773431166713602,11.239538628628784
QLearning,synth063,biasL,-1.3797348323774792,-0.5182947928986832
QLearning,synth063,choice_kernel_relative_weight,0.3680548872572159,0.3792268529666526
QLearning,synth063,forget_rate_unchosen,0.0197380570168674,0.202356582279063
QLearning,synth063,learn_rate,0.0555505575880828,0.5082746136644303
QLearning,synth063,softmax_inverse_temperature,8.857030102396314,6.59022291752249
QLearning,synth066,biasL,0.9932004603581254,0.6821296678189741
QLearning,synth066,choice_kernel_relative_weight,0.4557202209081316,0.3518821426485573
QLearning,synth066,forget_rate_unchosen,0.0543870699510313,0.241208333556436
QLearning,synth066,learn_rate,0.8379034301969419,0.9574559230787912
QLearning,synth066,softmax_inverse_temperature,2.9273684733855023,6.300453265113487
QLearning,synth069,biasL,0.3195059398887032,0.155034107428698
QLearning,synth069,choice_kernel_relative_weight,0.0023402802538413,-0.0675022629132486
QLearning,synth069,forget_rate_unchosen,0.1566988110876451,0.2234888576478144
QLearning,synth069,learn_rate,0.5853644673382412,0.8327105811423204
QLearning,synth069,softmax_inverse_temperature,15.143206128921662,12.842304500251888
QLearning,synth072,biasL,-0.7435282649434498,-0.428368881192037
QLearning,synth072,choice_kernel_relative_weight,0.362076256686086,0.3296206380800035
QLearning,synth072,forget_rate_unchosen,0.1544227306139793,0.1668618526964531
QLearning,synth072,learn_rate,0.2438175251182992,0.4939581682370068
QLearning,synth072,softmax_inverse_temperature,5.074806506320956,6.7596175115105
QLearning,synth075,biasL,0.5383656383350999,0.455516951771783
QLearning,synth075,choice_kernel_relative_weight,0.3622024242187185,0.3018369160777503
QLearning,synth075,forget_rate_unchosen,0.2411450370643455,0.165296568018797
QLearning,synth075,learn_rate,0.4323570641147565,0.6328117888429005
QLearning,synth075,softmax_inverse_temperature,6.117158807424017,7.457877582217301
QLearning,synth078,biasL,-0.3205930139367763,0.0849292554273541
QLearning,synth078,choice_kernel_relative_weight,0.4359103920463862,0.3857680227422212
QLearning,synth078,forget_rate_unchosen,0.0554473639689431,0.2043433387246346
QLearning,synth078,learn_rate,0.4385941330450347,0.7073089347082536
QLearning,synth078,softmax_inverse_temperature,8.402886353857786,9.520406436004404
QLearning,synth081,biasL,-1.0785383709466043,-0.3992798497718492
QLearning,synth081,choice_kernel_relative_weight,0.0498685463983837,0.0584186799848879
QLearning,synth081,forget_rate_unchosen,0.054046558669851,0.1279919105908513
QLearning,synth081,learn_rate,0.4446388999626058,0.6841058149274255
QLearning,synth081,softmax_inverse_temperature,8.493887889532527,7.463403653548061
QLearning,synth084,biasL,-0.7874827236475369,-0.3942230352180313
QLearning,synth084,choice_kernel_relative_weight,0.2425376728282416,0.2611183928202039
QLearning,synth084,forget_rate_unchosen,0.0493184434600567,0.1943046658229898
QLearning,synth084,learn_rate,0.6847633356376754,0.9325155093201878
